Date,Article Title,Opperative,City/Town,State/Provence,Country,Reference,WB?,Affected,Duration,Infrastructure,Holiday,Fire / Death / Notes,Species,Alt URL
2015-12-11,Bird cuts power to more than 1000 Maryborough homes,Bird,Granville,NSW,Australia,http://www.frasercoastchronicle.com.au/news/bird-cuts-power-more-1000-maryborough-homes/2870581/,Y,1000,330,,,,,
2015-12-09,Squirrel thought to be behind power outage,Squirrel,Nyssa,ID,United States,http://www.argusobserver.com/news/squirrel-thought-to-be-behind-power-outage/article_f3907758-9e9e-11e5-acc6-7b7ec8111ad5.html,Y,540,-,,,,,
2015-12-07,Power outage Monday related to squirrel,Squirrel,Edmond,OK,United States,http://www.edmondsun.com/news/power-outage-monday-related-to-squirrel/article_cb894b06-9dd9-11e5-9e7e-0f0acdbae4e0.html,E,3800,-,,,,,
2015-12-05,UPDATE: Bird on a Wire Caused Power Outage,Bird,Concord,NH,United States,http://patch.com/new-hampshire/concord-nh/massive-power-outage-hits-capital-region,Y,13300,217,,,,Hawk,
2015-12-05,500 Homes Experience 15 Hour Power Outage,Rat,Nashville,TN,United States,http://www.newschannel5.com/news/local-news/500-homes-experience-15-hour-power-outage,Y,500,915,,,,,
2015-12-03,"Squirrel causes power outage that hits 4,200 in Saginaw County",Squirrel,Brockway,MI,United States,http://www.mlive.com/news/saginaw/index.ssf/2015/12/squirrel_causes_power_outage_i.html,Y,4200,255,,,,,
2015-12-02,"Sorry, Goose, but it’s NOT time to buzz the tower.",Bird,Aberdeen,OR,United States,http://www.kxro.com/sorry-goose-but-its-not-time-to-buzz-the-tower/,Y,400,60,,,,Goose,
2015-12-01,Marder löst Stromausfall aus,Marten,Haßfurt,Bavaria,Germany,"https://www.mainpost.de/regional/hassberge/Marder-loest-Stromausfall-aus;art1726,9028601",Y,-,50,,,,,
2015-11-30,Connecticut City Blames Squirrels for Christmas Tree Snafu,Squirrel,Norwalk,CT,United States,http://www.nbcnewyork.com/news/local/Norwalk-Connecticut-Blames-Squirrel-Christmas-Tree-Snafu-Fairfield-359500661.html,Y,-,-,,,Christmas,,
2015-11-30,Squirrel causes Middlebury power outage,Squirrel,Middlebury,VT,United States,http://www.addisonindependent.com/201511squirel-causes-middlebury-power-outage,Y,1500,201,,,,,
2015-11-28,Turkey Whacks North Platte Power,Bird,North Patte,NE,United States,http://www.wowt.com/home/headlines/Turkey-Whacks-North-Platte-Power-357977111.html,B,6000,-,,,,Turkey,
2015-11-26,"Wayward Squirrel Triggers Power Outage That Affects 9,900 Customers",Squirrel,Los Angeles,CA,United States,http://www.nbclosangeles.com/news/local/Wayward-Squirrel-Triggers-Power-Outage-that-Affects-9900-Customers-355221011.html,Y,9900,77,,holiday,,,
2015-11-26,PNM: Power restored to ABQ customers,Unknown,Albuquerque,NM,United States,http://www.kob.com/article/stories/s3975193.shtml#.VljPlHarSJB,Y,1913,75,,holiday,,,
2015-11-26,Squirrels to blame for Thanksgiving morning power outages,Squirrel,East Longmeadow,MA,United States,http://wwlp.com/2015/11/26/hundreds-without-power-across-western-massachusetts/,Y,601,90,,holiday,,,
2015-11-26,St. Margaret's fourth annual Thanksgiving dinner goes on despite brief power outage,Squirrel,Bel Air,MD,United States,http://www.baltimoresun.com/news/maryland/harford/belair/ph-ag-st-margaret-dinner-1127-20151126-story.html,Y,200,-,,holiday,,,
2015-11-25,"Goanna blacks out 1037 premises at Ulan, Cooks Gap, Kains Flat, Linburn",Lizard,Mudgee,NSW,Australia,http://www.mudgeeguardian.com.au/story/3515369/goanna-blacks-out-1037-premises-at-ulan-cooks-gap-kains-flat-linburn/,Y,1037,29,,,,Goanna,
2015-11-24,A flock of buzzards caused a power outage,Bird,Greenwood County,SC,United States,http://www.indexjournal.com/news/Duke-power-outage-affects-southern-Greenwood-County,Y,4400,77,,,,,
2015-11-24,Birds caused South Shore power outage; restoration expected soon,Bird,Eltingville,NY,United States,http://www.silive.com/southshore/index.ssf/2015/11/birds_caused_south_shore_power.html,Y,155,-,,,,,
2015-11-23,Power Out In Kent for About 90 Minutes,Squirrel,Kent,OH,United States,http://www.recordpub.com/news%20local/2015/12/02/power-out-in-kent-for-about-90-minutes,Y,-,60,,,,,
2015-11-23,Brief power outage affects portions of Emporia,Squirrel,Emporia,KS,United States,http://www.kvoe.com/newsedit/11411-brief-power-outage-affects-portions-of-emporia,Y,1300,-,,,,,
2015-11-21,"Power restored along Riverdale Street, Eversource says outages caused by bird, not explosion",Bird,Springfield,MA,United States,http://www.masslive.com/news/index.ssf/2015/11/power_restored_along_riverdale.html,Y,-,-,,,,,
2015-11-20,An eagle deprives the central electricity Valais,Eagle,Ayent,,Switzerland,http://www.24heures.ch/suisse/suisse-romande/aigle-prive-valais-central-electricite/story/15570587,Y,-,-,,,,Golden Eagle,
2015-11-19,"Snake, not sabotage, caused 13-hour power outage in Lanao Norte – NGCP",Snake,Iligan City,Lanao del Norte,Philippines,http://newsinfo.inquirer.net/740963/snake-not-sabotage-caused-13-hour-power-outage-in-lanao-norte-ngcp,Y,-,780,,,,,
2015-11-18,Bird believed to be cause of power outage,Bird,Celina,OH,United States,http://www.dailystandard.com/archive/2015-11-18/stories/28181/bird-believed-to-be-cause-of-power-outage,Y,-,60,,,,,
2015-11-18,Raccoon causes Yorktown power outage,Raccoon,Yorktown,IN,United States,http://www.thestarpress.com/story/news/local/2015/11/17/4800-without-power-delaware-co/75963532/,E,4800,220,,,,,
2015-11-17,A raccoon was blamed for a power outage,Raccoon,Yorktown,IN,United States,http://www.thestarpress.com/story/news/local/2015/11/17/4800-without-power-delaware-co/75963532/,E,4800,0,,,,,
2015-11-17,Sparky the Squirrel: RIP,Squirrel,Minneapolis,MN,United States,https://twitter.com/mjharmon/status/666737969064087552,Y,109,-,,,,,
2015-11-16,Monday morning at Ohio University interrupted by campus-wide power outage,Squirrel,Athens,OH,United States,http://www.thepostathens.com/news/monday-morning-at-ohio-university-interrupted-by-campus-wide-power/article_a2628d00-8cb8-11e5-b321-637c4e80da48.html,E,-,600,university,,,,
2015-11-14,Power restored at Glenbrook Square Mall,Squirrel,Fort Wayne,IN,United States,http://wane.com/2015/11/14/im-power-out-at-glenbrook-square/,Y,-,-,,,,,
2015-11-14,Power restored in latest power outage Saturday in Lancaster city,Squirrel,Lancaster,PA,United States,http://lancasteronline.com/news/local/almost-all-power-restored-in-latest-power-outage-saturday-in/article_08cad990-8ac9-11e5-85e7-9349407d52ab.html,R,2979,-,,,,,
2015-11-13,Cause: Wildlife felled tree onto line,Unknown,,SK,Canada,https://twitter.com/SaskPower/status/665310630958641155,Y,-,90,,,,,
2015-11-12,Squirrel causes extensive damage in Millinocket substation,Squirrel,Millinocket,ME,United States,https://twitter.com/emerame/status/664848154685218817,Y,-,-,,,,,
2015-11-11,Power restored in West HSV. Outage was caused by a raccoon getting into the substation.,Raccoon,West Huntsville,AL,United States,https://twitter.com/hsvutilities/status/664662083749978112,Y,-,-,,holiday,,,
2015-11-11,Raccoon blamed for metro power outage,Raccoon,Des Moines,IA,United States,http://www.kcci.com/news/raccoon-blamed-on-metro-power-outage-right-now/36384176,Y,5000,39,,holiday,,,
2015-11-09,Power outage occurs in Wagoner,Squirrel,Wagoner,OK,United States,http://www.tulsaworld.com/communities/wagoner/news/local/power-outage-occurs-in-wagoner/article_cf0a473b-887b-59ae-92b9-94a6cdb1eb14.html,R,3000,195,,,,,
2015-11-09,Squirrel Causes Power Outage in Downtown Elmira ,Squirrel,Elmira,NY,United States,http://www.mytwintiers.com/news/local-news/squirrel-causes-power-outage-in-downtown-elmira,Y,109,-,post office,,,,
2015-11-07,Squirrel blamed for Missoula power outage,Squirrel,Missoula,MT,United States,http://www.kpax.com/story/30464085/squirrel-blamed-for-missoula-power-outage,Y,330,-,,,,,
2015-11-06,Power outage in Neillsville;  Courthouse closed Friday ,Unknown,Neillsville,WI,United States,http://www.weau.com/home/headlines/Xcel-outages-leaves-Neillsville-residents-without-power-341794442.html,Y,1700,480,courthouse,,,,
2015-11-05,UPDATE: Power restored at Utica College following squirrel-caused outage wktv.com/news/Power_out… - Utica NY,Squirrel,Utica,NY,United States,http://www.wktv.com/news/Power_outage_cancels_afternoon_classes_at_Utica_College.html#sthash.pG5G7lIv.dpuf,Y,-,-,university,,,,https://uctangerine.com/2019/09/20/uc-celebrates-another-successful-squirrel-day/
2015-11-05,"Squirrel wrecks city transformer, pays price",Squirrel,Rutland,VT,United States,http://www.rutlandherald.com/article/20151105/THISJUSTIN/151109659/,Y,-,-,,,,,
2015-11-05,Deadly Squirrel Claims Three Army Soldiers Lives,Squirrel,Boossa,Galle,Sri Lanka,http://www.hirunews.lk/119673/deadly-squirrel-claims-three-army-soldiers-lives#cuspopup,B,-,-,military,,3 dead,,
2015-11-04,"Snake caused electricity outage in Newport News; 300 still without power, official says",Snake,Newport News,VA,United States,http://www.dailypress.com/news/newport-news/dp-more-than-2-700-without-power-in-newport-news-20151103-story.html,Y,2700,60,,,,,
2015-11-03,Power outage from 'animal contact' for 270 east Mountain homes,Unknown,Stony Creek,ON,Canada,http://www.cbc.ca/news/canada/hamilton/news/power-outage-from-animal-contact-for-270-east-mountain-homes-1.3301207,Y,270,105,,,,,
2015-11-02,Squirrel causes Gallatin power outage,Squirrel,Gallatin,TN,United States,http://www.tennessean.com/story/news/local/sumner/gallatin/2015/11/02/squirrel-causes-gallatin-power-outage/75036394/,E,2000,30,,,,,
2015-11-02,CEC repair crews restore power to Black Butte Ranch area,Unknown,Black Butte Ranch,OR,United States,http://www.ktvz.com/news/central-electric-coop-repair-crews-restore-power/36203470,Y,1800,120,,,,,
2015-11-02,Squirrel causes power problem in American University-Tenleytown area of NW D.C. ,Squirrel,Washington,DC,United States,https://www.washingtonpost.com/news/local/wp/2015/11/02/squirrel-causes-power-problem-in-american-university-tenleytown-area-of-nw-d-c/,B,60,20,school,,,,
2015-11-01,Bird knocks out power ,Bird,Sierra Vista,AZ,United States,http://www.svherald.com/news/bird-knocks-out-power/article_dafb7964-8115-11e5-9d50-e7f78f24c47c.html,B,-,105,,,,Unspecified,
2015-11-01,"Squirrel causes power outages for 12,000 in Howard County",Squirrel,Kokomo,IN,United States,http://www.kokomotribune.com/news/local_news/squirrel-causes-power-outages-for-in-howard-county/article_587eafd0-80c3-11e5-b495-73c079c83d59.html,B,12000,150,,,,,
2015-11-01,Squirrel causes Gallatin power outage,Squirrel,Gallatin,TN,United States,http://www.tennessean.com/story/news/local/sumner/gallatin/2015/11/02/squirrel-causes-gallatin-power-outage/75036394/,E,2000,30,,,,,
2015-11-01,Squirrel causes 9% of Ridgefield to lose power today,Squirrel,Ridgedield,CT,United States,http://news.hamlethub.com/ridgefield/life/49782-squirrel-causes-9-of-ridgefield-to-lose-power-today,Y,950,180,,,,,
2015-10-31,Squirrel blamed for power outage on Helena's Westside,Squirrel,Helena,MT,United States,http://helenair.com/news/local/squirrel-blamed-for-power-outage-on-helena-s-westside/article_81706cdf-8a5b-5872-9793-6621e1026e05.html,Y,3500,50,,,,,
2015-10-30,A SQUIRREL LEFT WITHOUT LIGHT MEDIUM LUJÁN,Squirrel,Luján,Buenos Aires,Argentina,http://www.cooperativapares.com.ar/ultimas-noticias/5692-una-ardilla-dejó-sin-luz-a-medio-luján.html,Y,-,60,,,,,
2015-10-30,"Bird believed to be cause of outage in Pine Point neighborhood, Eversource says",Bird,Springfield,MA,United States,http://www.masslive.com/news/index.ssf/2015/10/bird_believed_to_be_cause_of_o.html,Y,175,60,,,,Unspecified,
2015-10-28,Power outage forced early dismissal at 2 DD4 schools ,Bird,Harleyville,SC,United States,http://www.live5news.com/story/30373194/power-outage-forced-early-dismissal-at-2-dd4-schools,Y,476,-,school,,,Unspecified,
2015-10-24,Crews Dispatched dead squirrel.,Squirrel,,SK,Canada,https://twitter.com/SaskPower/status/658007179685859328,Y,-,30,,,,,
2015-10-23,Power restored after outage in Davenport ,Unknown,Davenport,IA,United States,http://kwqc.com/2015/10/23/power-outage-affects-thousands-in-davenport/,Y,3946,40,,,,,
2015-10-22,"Rodent knocks out power to OSU Medical Center, southwest downtown buildings",Unknown,Tulsa,OK,United States,http://www.tulsaworld.com/news/downtown/rodent-knocks-out-power-to-osu-medical-center-southwest-downtown/article_1a60182b-b548-50be-b82f-79f5cf99f095.html,Y,-,-,"university, hospital",,,Large Mouse or Small Rat,
2015-10-22,Power outage causes several West Lafayette traffic signals to go dark,Squirrel,West Lafayette,IN,United States,http://wlfi.com/2015/10/22/power-outage-causes-several-west-lafayette-traffic-signals-to-go-dark/,Y,5800,-,,,,,
2015-10-22,Squirrel causes Wilson County power outage,Squirrel,Mt. Juliet,TN,United States,http://www.tennessean.com/story/news/local/wilson/2015/10/12/squirrel-causes-wilson-county-power-outage/73806902/,E,4400,-,,,,,
2015-10-20,Squirrel causes 1-acre grass fire in Polk County,Squirrel,Potter,AR,United States,http://m.arkansasonline.com/news/2015/oct/20/squirrel-shorts-out-transformer-polk-county-causin/,Y,-,-,,,1 acre fire,,
2015-10-20,Ellensburg power outage caused by bird ,Bird,Ellensburg,WA,United States,http://www.dailyrecordnews.com/members/ellensburg-power-outage-caused-by-bird/article_6f3ae426-7751-11e5-bfb0-3f4ab82b0a1d.html,Y,-,190,school,,,Unspecified,
2015-10-20,UPDATE: Power restored in Parkersburg,Bird,Parkersburg,WV,United States,http://www.thenewscenter.tv/home/headlines/Officials-Significant-Power-Outage-in-Parkersburg-334771471.html,Y,2300,15,,,,Unspecified,
2015-10-20,Power Outage On The South Side Of Pueblo ,Bird,Pueblo,CO,United States,http://www.kktv.com/home/headlines/Power-outage-on-the-south-side-of-Pueblo-334700321.html,Y,1000,15,"school, hospital",,,Unspecified,
2015-10-19,Squirrel causes massive blackout in Lebanon Saturday,Squirrel,Lebanon,IN,United States,http://m.reporter.net/news/local_news/squirrel-causes-massive-blackout-in-lebanon-saturday/article_5bd04b72-a44f-54fb-b9c1-fab983211d3e.html,B,-,360,,,,,
2015-10-19,"Update: Power restored in Ozark, birds caused outage",Bird,Ozark,MO,United States,http://www.news-leader.com/story/news/local/christian-county/2015/10/19/thousands-without-power-southwest-missouri/74226278/,Y,8842,90,school,,,Unspecified,
2015-10-19,Squirrel apparent cause of weekend power outage,Squirrel,Lafayette,IN,United States,http://www.purdueexponent.org/city_state/article_db37f145-8787-5b2d-81f4-c3f1f14e81dc.html,Y,6000,360,"university, courthouse",,,,
2015-10-18,Possum to blame for Sunday night power outage,Possum,Athens,AL,United States,http://www.enewscourier.com/news/local_news/possum-to-blame-for-sunday-night-power-outage/article_cedbd8b0-76aa-11e5-a122-9f89680c204d.html,B,8000,-,,,,,
2015-10-18,"Sunday morning outage leaves 5,400 in Northampton without power, caused by animal in substation",Unknown,Northampton,MA,United States,http://mobile.gazettenet.com/home/19077686-108/sunday-morning-outage-leaves-5400-in-northampton-without-power-caused-by-animal-in-substation,Y,5400,30,,,,,
2015-10-18,Animal contact was cited in a power outage,Unknown,Winnebago County,WI,United States,http://fox11online.com/news/local/fox-cities/power-outages-in-northeast-wisconsin-10-18-2015,Y,4600,0,,,,,
2015-10-18,Bird causes power outage to parts of Madisonville,Bird,Madisonville,KY,United States,http://www.messenger-inquirer.com/news/local/bird-causes-power-outage-to-parts-of-madisonville/article_ac54c278-52c3-5ad7-ab04-66a340970d27.html,Y,600,-,,,,Unspecified,
2015-10-17,Squirrels cause disruption to District 90 phone systems,Squirrel,River Forrest,IL,United States,http://www.chicagotribune.com/suburbs/river-forest/news/ct-rfl-dist-90-squirrel-tl-1022-20151016-story.html,Y,-,180,"school, phones",,,,
2015-10-17,A squirrel sparked a power outage,Squirrel,Lebanon,IN,United States,http://www.reporter.net/news/local_news/squirrel-causes-massive-blackout-in-lebanon-saturday/article_5bd04b72-a44f-54fb-b9c1-fab983211d3e.html,B,0,360,,,,,
2015-10-15,Raccoon triggers Ferdinand power outage ,Raccoon,Ferdinand,IN,United States,https://duboiscountyherald.com/b/raccoon-triggers-ferdinand-power-outage,Y,-,180,,,,,
2015-10-14,Squirrel Causes Power Outage at the UofA,Squirrel,Fayetteville,AR,United States,http://www.uatrav.com/news/article_283cbca6-720c-11e5-94be-ab750a16f4e8.html,B,-,-,university,,,,
2015-10-14,An outage was caused by a squirrel that blew a transformer,Squirrel,Salina,KS,United States,http://www.ksal.com/salina-downtown-power-outage/,Y,1600,55,,,,,
2015-10-14,An outage was necessitated by damage by woodpeckers,Bird,Ketchum,ID,United States,http://www.kmvt.com/content/news/Ketchum-police-and-fire-departments-kept-busy-overnight-with-power-outage-related-calls-332971731.html,Y,0,480,,,,Woodpecker,
2015-10-13,Bird dims H-E-B lights,Bird,Victoria,TX,United States,https://www.victoriaadvocate.com/news/2015/oct/13/bird-dims-h-e-b-lights/,Y,-,60,,,,Unspecified,
2015-10-13,Squirrel knocks out power in Jamestown,Squirrel,Jamestown,ND,United States,http://www.jamestownsun.com/news/local/3860634-squirrel-knocks-out-power-jamestown,Y,2300,28,,,,,
2015-10-13,Squirrel blamed for power outage,Squirrel,Radcliff,KY,United States,http://m.thenewsenterprise.com/newsenterprise/db_321794/contentdetail.htm?contentguid=v0DFvcon,B,2300,60,,,,,
2015-10-12,Power restored on east side of Anderson,Squirrel,Anderson,IN,United States,http://m.heraldbulletin.com/news/local_news/power-restored-on-east-side-of-anderson/article_6603aa76-70f5-11e5-b87a-e7a4256d192f.html?mode=jqm,B,-,40,,holiday,,,
2015-10-12,Small power outages blamed on squirrels; others are isolated incidents,Squirrel,Lauderdale,AL,United States,http://m.waaytv.com/appnews/small-power-outages-blamed-on-squirrels-others-are-isolated-incidents/article_c312d18a-712f-11e5-a31a-838c906ddfe8.html,B,-,-,,holiday,,,
2015-10-12,Morning outage affects thousands in Cochise,Bird,Sierra Vista,AZ,United States,http://www.svherald.com/news/morning-outage-affects-thousands-in-cochise-county/article_38bdc4b0-710a-11e5-a79b-9b5dba6bc762.html,B,14000,-,,holiday,,Raven,
2015-10-12,Squirrel causes Wilson County power outage,Squirrel,Mount Juliet,TN,United States,http://www.tennessean.com/story/news/local/wilson/2015/10/12/squirrel-causes-wilson-county-power-outage/73806902/,E,4400,-,,holiday,,,
2015-10-12,Power Outage Causes Cancellation of Classes ,Unknown,Pleasentville,IA,United States,http://whotv.com/2015/10/12/power-outage-causes-cancellation-of-classes-for-some-schools/,Y,3000,-,school,holiday,,,
2015-10-12,UPDATE: Downed power line to blame for power outage,Beaver,Sioux Falls,SD,United States,http://www.ksfy.com/home/headlines/3000-Xcel-Energy-customers-lose-power-in-Sioux-Falls-area-331985542.html,Y,3000,270,,holiday,,,
2015-10-10,Outage history,Unknown,Santa Clara,CA,United States,http://www.siliconvalleypower.com/svp-and-community/outages-and-alerts/outages/outage-history,Y,-,-,,,,,
2015-10-10,An outage was caused by a pair of blackbirds,Bird,Jackson,OH,United States,http://www.timesjournal.com/news/article_d0ebe4d5-ac0d-54b6-b89d-77fef4a618de.html,Y,-,90,,,,Blackbird,
2015-10-10,"Bird to blame for power outage affecting 15,000 homes",Bird,Canterbury,,New Zealand,http://i.stuff.co.nz/the-press/news/72890822/Bird-to-blame-for-power-outage-affecting-15-000-homes,B,15000,255,,,,Unspecified,
2015-10-10,Squirrel causes power outage in Carmel,Squirrel,Carmel,IN,United States,http://www.theindychannel.com/news/local-news/squirrel-causes-power-outage-at-clay-terrace-mall,Y,2500,180,,,,,
2015-10-09,Causa una ardilla apagón y muere,Squirrel,Monterrey,Nuevo León,Mexico,http://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=663760&urlredirect=http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=663760,Y,-,-,bank,,,,
2015-10-07,Squirrels cause power outage in city,Squirrel,Blue Springs,MO,United States,http://www.examiner.net/article/20151007/NEWS/151009240/1994/NEWS,Y,4355,118,,,,,
2015-10-07,Squirrels cause power outage in city,Squirrel,Blue Springs,MO,United States,http://www.examiner.net/article/20151007/NEWS/151009240/1994/NEWS,Y,1600,34,,,,,
2015-10-07,"Bird causes power outage in Arnold, leaving Fox school board in the dark",Bird,Arnold,MO,United States,http://www.myleaderpaper.com/news/bird-causes-power-outage-in-arnold-leaving-fox-school-board/article_cdd0e52c-6d14-11e5-bf20-5f5342147878.html,B,380,60,school,,,Bird Nest,
2015-10-06,City: Power back on in Petoskey following outage,Squirrel,Petosky,MI,United States,http://www.petoskeynews.com/featured-pnr/city-power-back-on-in-petoskey-following-outage/article_d3cc1f10-6c2d-11e5-b92a-e3307ad5bd05.html,B,-,45,,,,,
2015-10-06,Squirrels were blamed for a pair of outages in the city,Squirrel,Independence,MO,United States,http://www.examiner.net/article/20151007/NEWS/151009240/1994/NEWS,Y,4355,118,,,,,
2015-10-06,Power Outage Strikes North Lexington ,Squirrel,Lexington,KY,United States,http://www.lex18.com/story/30197677/power-outage-strikes-north-lexington,Y,4000,-,,,,,
2015-10-06,Squirrels were blamed for a pair of outages in the city,Squirrel,Independence,MO,United States,http://www.examiner.net/article/20151007/NEWS/151009240/1994/NEWS,Y,1600,34,,,,,
2015-10-05,rat puts parts Bemerodes lame,Rat,Hannover,,Germany,http://www.haz.de/Hannover/Aus-den-Stadtteilen/Sued/Ratte-legt-Teile-Bemerodes-lahm,Y,-,60,,,,,
2015-10-04,"Snake Knocks Out Power to Thousands in Orange Park, Fla.",Snake,Orange Park,FL,United States,http://www.wfmynews2.com/story/news/weird/2015/10/03/snake-knocks-out-power-thousands-orange-park-fla/73288956/,Y,3000,-,,,,,
2015-10-04,Squirrel leaves thousands without power in Spokane Valley,Squirrel,Spokane Valley,WA,United States,http://www.krem.com/story/news/local/spokane-county/2015/10/03/squirrel-leaves-thousands-without-power-in-spokane-valley/73287014/,Y,2359,60,,,,,
2015-10-03,We were able to capture a photo of the buzzard...,Bird,Clay County,FL,United States,https://www.facebook.com/ClayElectric/photos/a.166788083361763.32128.162291443811427/1062958427078053/?type=3&comment_id=1081824081858154&reply_comment_id=1081945121846050&offset=0&total_comments=17&notif_t=photo_reply,Y,-,-,,,,"Buzzard, after a snake already there",
2015-10-03,"Squirrel causes 1,900 power outages in Frederick",Squirrel,Fredrick,MD,United States,http://www.baltimoresun.com/news/maryland/bs-md-frederick-squirrel-power-outage-20151003-story.html,Y,1900,-,,,,,
2015-10-02,Primates monkey around and take Zimbabwe radio station off air,Monkey,Zvishavane,Midlands,Zimbabwe,http://www.theguardian.com/world/2015/oct/01/zimbabwe-baboons-radio-station-off-air,Y,-,60,,,$1200 revenue lost,,
2015-10-02,Owl burst into flames after coming into contact with power lines on Fort Hall Indian Reservation,Bird,Fort Hall,ID,United States,http://www.idahostatejournal.com/news/local/owl-burst-into-flames-after-coming-into-contact-with-power/article_f6e9c7d8-bc6c-5e0b-876a-e83393cd2351.html,B,-,-,,,No power outage but small fire,Owl,
2015-10-02,Power restored to thousands in southwest Wichita,Unknown,Wichita,KS,United States,http://www.kansas.com/news/local/article37261758.html,Y,6300,120,,,,,
2015-10-01,"Massive 2015 natural gas leak caused by microbial corrosion, report says",Microbes,Aliso Canyon,CA,United States,https://arstechnica.com/science/2019/05/massive-2015-natural-gas-leak-caused-by-microbial-corrosion-report-says/,Y,-,-,,,,,
2015-10-01,Power outage in Navarre,Squirrel,Navarre,FL,United States,http://www.nwfdailynews.com/article/20150930/NEWS/150939905,Y,7000,120,,,,,
2015-09-30,Birds were blamed for power outages,Bird,Frisco,TX,United States,http://www.nbcdfw.com/news/local/Birds-to-Blame-for-Power-Outages-in-Frisco-and-Little-Elm-330195391.html,Y,54500,-,,,,,
2015-09-29,"Snake causes power outage in Clay County, again",Snake,Clay County,FL,United States,http://www.actionnewsjax.com/news/news/local/snake-causes-power-outage-clay-county-again/nnq8x,Y,5000,60,,,,,
2015-09-28,An animal caused a power outage,Unknown,Bland,VA,United States,http://www.swvatoday.com/news/bland_county/article_f697e506-66d8-11e5-9eae-776e527377e4.html,B,8,150,,,,,
2015-09-27,An animal was blamed for causing an outage,Unknown,New Orleans,LA,United States,http://www.wdsu.com/news/local-news/new-orleans/entergy-crews-working-to-repair-power-outages-in-southeast-louisiana/35513116,Y,-,-,,,,,
2015-09-26,Power outage strikes Regina again,Squirrel,Regina,SK,Canada,http://www.cbc.ca/news/canada/saskatchewan/power-outage-strikes-regina-again-1.3245614,Y,-,30,,,,,
2015-09-26,Raccoon causes power outage in Sunset District,Raccoon,San Francisco,CA,United States,http://kron4.com/2015/09/26/golden-gate-park-sunset-neighborhoods-going-through-power-outage/,Y,3360,90,,,,,
2015-09-25,Marder triggers power failure in Neuss from,Marten,Neuss,Rhine-Westphalia,Germany,http://www.spiegel.de/panorama/marder-loest-stromausfall-in-neuss-aus-a-1054673.html,Y,-,-,,,,,
2015-09-25,A squirrel likely touched a power line and caused an outage,Squirrel,Raymond,MS,United States,http://wjtv.com/2015/09/25/squirrel-to-blame-for-raymond-grass-fire/,Y,-,-,,,fire,,
2015-09-25,Rogue squirrel causes power outage in city,Squirrel,Marquette,MI,United States,http://abc10up.com/power-outage-in-marquette/,Y,4834,35,,,,,
2015-09-24,Lights out!,Bird,Purcell,OK,United States,http://www.purcellregister.com/news/article_b0b8fe9c-6207-11e5-8718-bb527abf1ecb.html,Y,-,43,,,,,
2015-09-24,Power Outage,Squirrel,Cerro Gordo,IA,United States,http://kimt.com/2015/09/23/power-outage/,Y,1000,-,,,,,
2015-09-22,"Squirrels, birds still causing power outage woes",Unknown,Regina,SK,Canada,http://www.cbc.ca/news/canada/saskatchewan/squirrels-birds-still-causing-power-outage-woes-1.3239017,Y,-,-,,,,,
2015-09-22,PSE: Substation goes offline in Hawks Prairie,Bird,Tumwater,WA,United States,http://www.theolympian.com/news/local/article36311046.html,E,2400,-,,,,,
2015-09-21,"Power Restored To Nearly 5,000 Customers Near Beaumont Centre",Squirrel,Lexington,KY,United States,http://www.lex18.com/story/30078649/over-5000-customers-without-power-near-beaumont-centre,Y,5492,-,,,,,
2015-09-20,"Animal caused power outage on Martin Highway, officials say",Unknown,Palm City,FL,United States,http://www.tcpalm.com/news/local-news/martin-county/news-briefs/animal-caused-power-outage_15662010,Y,2500,-,,,,,
2015-09-16,Power restored to over 1200 after bird strike cuts power,Bird,Frenchville,QLD,Australia,http://www.themorningbulletin.com.au/news/live-powerlines-down-kerrigan-and-dean-st-intersec/2776104/,Y,1201,-,,,,,
2015-09-16,Bird nest knocks out power to hundreds,Bird,Corning,CA,United States,http://www.krcrtv.com/news/local/bird-nest-knocks-out-power-to-hundreds/35318002,Y,660,-,,,,,
2015-09-15,Gnawing stone marten put South Limburg in the dark,Marten,Maastricht,,Netherlands,http://www.ad.nl/binnenland/knagende-steenmarter-zet-zuid-limburg-in-het-donker~a05f9e97/,N,-,70,,,,,
2015-09-15,A snake caused an outage,Snake,Old Saybrook,CT,United States,http://www.wfsb.com/story/30036896/power-outages-cause-traffic-delays-in-old-saybrook,Y,-,-,,,,,
2015-09-15,A beaver was blamed for a power cut,Beaver,Missoula,MT,United States,http://www.krtv.com/story/30054150/beaver-causes-power-outage-in-western-montana,Y,-,-,,,,,
2015-09-15,See what happens when a snake causes a power outage,Snake,Clay County,FL,United States,http://www.actionnewsjax.com/news/news/national/see-what-happens-when-snake-causes-power-outage/nngMD/,Y,5000,60,,,,Rat Snake,
2015-09-15,Power cut. A crow deprived of electricity 600 homes,Bird,Coulmer Orgères,Coulmer,France,http://www.ouest-france.fr/normandie/echauffour-61370/coupure-de-courant-un-corbeau-prive-600-foyers-delectricite-2827100,Y,660,-,,,,Crow,
2015-09-12,"More than 2,600 without power in Grand Rapids",Squirrel,Grand Rapids,MI,United States,http://www.mlive.com/news/grand-rapids/index.ssf/2015/09/more_than_2600_without_power_i.html,Y,2600,90,,,,,
